isbn,title,author,year,pageCount
978-0-06-112008-4,To Kill a Mockingbird,Harper Lee,1960,281
978-0-7432-7356-5,The Road,Cormac McCarthy,2006,287
978-1-9848-2265-5,The Silent Patient,Alex Michaelides,2019,325
978-0-452-28423-4,1984,George Orwell,1949,328
978-1-4767-8760-0,The Great Gatsby,F. Scott Fitzgerald,1925,180
978-0-14-243723-0,Moby-Dick,Herman Melville,1851,635
978-1-5011-2643-2,Where the Crawdads Sing,Delia Owens,2018,384
978-0-14-303943-3,The Picture of Dorian Gray,Oscar Wilde,1890,254
978-0-307-29097-8,The Girl on the Train,Pauva Hawkins,2015,395
978-0-14-311776-3,Brave New World,Ali Huxley,1932,268
978-0-06-256106-3,The Hunger Games,Suzanne Collins,2008,374
978-1-5247-4394-8,The Night Circus,Erin Morgenstern,2011,387
978-0-451-52878-2,Fahrenheit 451,Ray Bradbury,1953,158
978-1-5011-0397-5,The Alchemist,Paulo Coelho,1988,208
978-0-452-28424-1,Frankenstein,Mary Shelley,1818,280
978-0-316-76948-1,The Outsiders,S.E. Hinton,1967,192
978-0-15-107255-2,The Grapes of Wrath,John Steinbeck,1939,464
978-0-06-257223-2,The Godfather,Mario Puzo,1969,448
978-1-9821-4804-0,The Midnight Library,Matt Haig,2020,304
978-0-394-58830-5,The Catcher in the Rye,J.D. Salinger,1951,214
978-0-316-40720-7,The Secret History,Donna Tartt,1992,559
978-0-14-243722-3,The Hobbit,J.R.R. Tolkien,1937,310
978-0-312-42547-4,The Time Traveler's Wife,Audrey Niffenegger,2003,546
978-0-15-170331-9,Slaughterhouse-Five,Kurt Vonnegut,1969,275
978-1-4767-2903-7,The Help,Kathryn Stockett,2009,522
978-0-06-085052-4,The Lovely Bones,Alice Sebold,2002,328
978-0-06-112241-5,A Game of Thrones,George R.R. Martin,1996,694
978-1-4516-7321-4,The Outsider,Stephen King,2018,560
978-1-59448-000-3,The Da Vinci Code,Dan Brown,2003,454
978-0-06-203075-4,Shantaram,Gregory David Roberts,2003,936
978-1-4767-0974-9,The 5th Wave,Rick Yancey,2013,457
978-0-385-53495-0,The Girl with the Dragon Tattoo,Stieg Larsson,2005,465
978-1-78416-017-4,The Nightingale,Kristin Hannah,2015,440
978-0-06-240985-0,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,2017,400
978-0-06-267849-4,Big Little Lies,Liane Moriarty,2014,460
978-0-06-112008-4,The Kite Runner,Khaled Hosseini,2003,371
978-0-425-24861-3,The Handmaid's Tale,Margaret Atwood,1985,311
978-0-671-88033-5,The Firm,John Grisham,1991,448
978-0-440-22153-3,The Shining,Stephen King,1977,447
978-0-8041-4118-9,The Secret Garden,Frances Hodgson Burnett,1911,331
978-1-59555-014-2,The Fault in Our Stars,John Green,2012,313
978-1-4516-7337-5,The Book Thief,Markus Zusak,2005,552
978-0-553-21288-6,Ender's Game,Orson Scott Card,1985,324
978-0-06-193431-1,The Girl with the Louding Voice,Abi Daré,2020,400
978-0-316-02094-5,Life After Life,Kate Atkinson,2013,529
978-1-4447-0972-1,The Shadow of the Wind,Carlos Ruiz Zafón,2001,487
978-0-14-027634-2,The Bell Jar,Sylvia Plath,1963,288
978-0-141-04027-8,One Hundred Years of Solitude,Gabriel García Márquez,1967,417
978-0-06-267879-1,The Sun Down Motel,Simpkin,2020,320
978-0-7432-7356-6,No Country for Old Men,Cormac McCarthy,2005,309
978-1-4767-8761-7,The Road to Character,David Brooks,2015,320
978-0-7432-7355-9,The Border Trilogy,Cormac McCarthy,1998,540
978-0-06-112004-6,The Beautiful and the Damned,F. Scott Fitzgerald,1922,218
978-1-4516-7323-6,On the Road,Jack Kerouac,1957,337
978-0-452-28423-3,Animal Farm,George Orwell,1945,112
978-1-5011-6724-9,The Institute,Stephen King,2019,576
978-1-4028-3410-0,The Old Man and the Sea,Ernest Hemingway,1952,127
978-0-14-028329-7,The Trial,Franz Kafka,1925,292
978-0-7432-7642-9,East of Eden,John Steinbeck,1952,601
978-0-452-27372-5,The Crucible,Arthur Miller,1953,127